id,longitude,latitude,zoom,heading,tilt,width,height
94,15.0889473,37.5019784,48.0,224.12,83.59,200.0,200.0
95,15.0889473,37.5019784,48.0,283.64,84.74,200.0,200.0
96,15.0884035,37.5019284,51.0,263.64,80.5,200.0,200.0
97,15.0883072,37.5018906,75.0,306.18,78.67,200.0,200.0
98,15.0877846,37.5016587,51.2,192.25,82.37,200.0,200.0
99,15.087683,37.5016164,48.9,269.82,83.7,200.0,200.0
100,15.0872475,37.5010712,46.9,94.49,81.91,200.0,200.0
101,15.087348,37.5009134,75.0,104.21,82.86,200.0,200.0
102,15.087348,37.5009134,75.0,225.08,77.03,200.0,200.0
103,15.0875695,37.5006804,48.9,109.92,82.45,200.0,200.0
104,15.0875695,37.5006804,48.9,186.45,82.4,200.0,200.0
105,15.0877575,37.5004778,75.0,37.73,73.69,200.0,200.0
106,15.0878483,37.5004144,48.9,343.97,80.37,200.0,200.0
107,15.0878483,37.5004144,24.9,274.05,86.53,200.0,200.0
108,15.0881955,37.5001076,75.0,333.47,79.3,200.0,200.0
109,15.0883143,37.5001527,75.0,263.44,82.21,200.0,200.0
110,15.0884085,37.4998394,48.4,192.52,83.0,200.0,200.0
111,15.0884085,37.4998394,27.6,124.11,85.12,200.0,200.0
112,15.0885979,37.4997226,90.0,83.75,79.67,200.0,200.0
113,15.0887319,37.4995047,75.0,70.78,42.75,200.0,200.0
114,15.0887319,37.4995047,48.5,116.79,80.78,200.0,200.0
115,15.0889703,37.4992546,48.8,114.92,81.04,200.0,200.0
116,15.0889703,37.4992546,48.8,183.21,87.52,200.0,200.0
117,15.0891915,37.4992616,75.0,260.27,77.39,200.0,200.0
118,15.0892829,37.4988313,47.4,223.12,86.29,200.0,200.0
119,15.089228,37.4989097,49.1,173.33,81.89,200.0,200.0
120,15.0893915,37.4986734,48.7,39.18,82.16,200.0,200.0
121,15.089445,37.498594,46.9,93.03,82.21,200.0,200.0
122,15.0897725,37.4986429,47.9,241.57,81.61,200.0,200.0
123,15.0899928,37.497759,17.1,6.25,86.58,200.0,200.0
124,15.0901069,37.4975946,75.0,221.33,80.58,200.0,200.0
125,15.0902098,37.4962351,75.0,10.5,80.41,200.0,200.0
126,15.0888048,37.49632,75.0,14.76,78.8,200.0,200.0
127,15.0887952,37.4964553,69.9,213.74,78.36,200.0,200.0
128,15.0879809,37.4964271,48.9,203.94,88.49,200.0,200.0
129,15.0880979,37.4964129,51.4,259.61,84.07,200.0,200.0
130,15.0875386,37.4964837,75.0,310.12,80.72,200.0,200.0
131,15.0874253,37.4964998,75.0,140.42,76.61,200.0,200.0
132,15.0874253,37.4964998,75.0,173.75,78.48,200.0,200.0
133,15.0873818,37.4963757,75.0,43.18,75.65,200.0,200.0
134,15.0873818,37.4963757,75.0,100.95,84.46,200.0,200.0
135,15.087294,37.4959998,48.9,166.49,81.42,200.0,200.0
